,name,url,year,certificate,rating,votes,plot,Action,Adventure,Comedy,Crime,Family,Fantasy,Mystery,Sci-Fi,Thriller
5653,Fighters Destiny,https://www.imdb.com/title/tt5452180/?ref_=adv_li_tt,1998,T,6.6,13,"Fight different fighters, wrestlers and martial artists where you get points on how you defeat them.",True,False,False,False,False,False,False,False,False
5654,Black Rose Valkyrie,https://www.imdb.com/title/tt6033592/?ref_=adv_li_tt,2016,T,8.9,19,Add a Plot,True,False,False,False,False,False,False,False,False
5655,Night Warriors: Darkstalkers' Revenge,https://www.imdb.com/title/tt5915462/?ref_=adv_li_tt,1995,T,7.5,55,Sequel to the original Darkstalkers with the addition of improved features and two new characters joining the cast who are Monster Hunters.,True,False,False,False,False,False,False,False,False
5656,Ranma 1/2: Battle Renaissance,https://www.imdb.com/title/tt8456610/?ref_=adv_li_tt,1996,,,,Add a Plot,True,False,False,False,False,True,False,False,False
5657,Aliens vs. Pinball,https://www.imdb.com/title/tt5812596/?ref_=adv_li_tt,2016,E10+,8.6,99,"Zen Pinball features hit tables based on some of the biggest brands in entertainment, including Marvel Comics, Star Wars, ALIEN, The Walking Dead and more, Zen Pinball is your go-to place for all of your pinball cravings.",True,False,False,False,False,False,False,True,False
5658,Manta,https://www.imdb.com/title/tt14690248/?ref_=adv_li_tt,2021,,,,For four hundred years the brutal X'taran empire has ruled the galaxy with an iron fist. The source of their power is their control of the ocean world of Ixt'thus.,True,False,False,False,False,False,False,False,False
5659,Jurassic Park,https://www.imdb.com/title/tt6520774/?ref_=adv_li_tt,1993,,6.4,25,"Biosyn is not featured in the Game Boy version. The player controls Grant, whose vehicle at Jurassic Park has stopped functioning as the result of an intentional power outage. Grant moves ... See full summary »",True,True,False,False,False,False,False,True,False
5660,Renegade,https://www.imdb.com/title/tt0316483/?ref_=adv_li_tt,1986,Unrated,7.5,43,Renegade is a side-scrolling beat-'em-up developed by Technos Japan and distributed by Taito for the arcades in 1986. The player controls a street brawler who must face four different gangs... See full summary »,True,False,False,True,False,False,False,False,False
5661,Worms Reloaded,https://www.imdb.com/title/tt8955116/?ref_=adv_li_tt,2010,,6.6,30,Ten years on from Worms Armageddon and the turn-based comic mayhem continues in Worms Reloaded.,True,False,False,False,False,False,False,False,False
5662,Infectonator: Survivors,https://www.imdb.com/title/tt9580796/?ref_=adv_li_tt,2016,,7.5,13,"When their car breaks down in a zombie apocalypse, a group of people must fight to the last to survive the brain-eating monsters.",True,False,False,False,False,False,False,False,True
5663,MissionForce: CyberStorm,https://www.imdb.com/title/tt0403308/?ref_=adv_li_tt,1996,,7.7,14,Isometric turn-based strategy game set in the dystopian futuristic Earthsiege universe. A private military company orders the player to command units of mechs piloted by enslaved clones BioDerms to stop the man-made robotic Cybrids.,True,False,False,False,False,False,False,True,False
5664,Inuyasha: The Secret of the Cursed Mask,https://www.imdb.com/title/tt0443553/?ref_=adv_li_tt,2004,T,7.8,67,"While preparing for the annual Festival of Dolls at the family shrine, Kururugi (either male Michiru or female Kaname, or you can change the first name of the character) falls through a ... See full summary »",True,True,True,False,False,False,False,False,False
5665,Assault Rigs,https://www.imdb.com/title/tt5112784/?ref_=adv_li_tt,1996,K-A,6.2,7,Add a Plot,True,False,False,False,False,False,False,True,False
5666,Prodeus,https://www.imdb.com/title/tt14637584/?ref_=adv_li_tt,2020,M,6.8,5,"Prodeus is the first person shooter of old, re-imagined using modern rendering techniques, It reaches the quality you expect from a AAA experience while adhering to some of the aesthetic technical limits of older hardware.",True,True,False,False,False,False,False,False,False
5667,Road Rash 64,https://www.imdb.com/title/tt0282908/?ref_=adv_li_tt,1999,T,7.9,58,"Illegally race against your opponents on motorcycles, using any means possible to get in first place.",True,True,False,False,False,False,False,False,False
5668,Clarence: Thirty Days and Seven Seas,https://www.imdb.com/title/tt7681510/?ref_=adv_li_tt,2016,E,,,"Ahoy mateys, Join Clarence and friends on a swashbuckling quest for pirate treasure in Thirty Days and Seven Seas.",True,True,False,False,False,False,False,False,False
5669,Kirby's Blowout Blast,https://www.imdb.com/title/tt7082216/?ref_=adv_li_tt,2017,E,6.8,12,Have a blast inhaling foes and blowing them away in 3D environments across 25+ stages. Inhale enough enemies and you can launch one huge Blaster Bullet capable of wiping out a troop of Waddle Dees.,True,True,False,False,True,False,False,False,False
5670,RoboCop,https://www.imdb.com/title/tt0302975/?ref_=adv_li_tt,1988,Unrated,6.8,204,"Originally designed for the arcade, and ported for home computer, RoboCop fights his way through the criminal underworld of Detroit in a side-scrolling beat 'em up/run-and-gun video game, with first-person shooter and puzzle mini-games.",True,True,False,True,False,False,False,False,False
5671,7th Dragon 2020-II,https://www.imdb.com/title/tt5944530/?ref_=adv_li_tt,2013,,,,Add a Plot,True,False,False,False,False,False,False,False,False
5672,Zombeer,https://www.imdb.com/title/tt3579336/?ref_=adv_li_tt,2014,,5.1,17,"In a world full of zombies the only way to stay alive, is to stay drunk.",True,False,True,False,False,False,False,False,False
5673,Ninja: Shadow of Darkness,https://www.imdb.com/title/tt0376008/?ref_=adv_li_tt,1998,,7.2,35,A ninja living in Feudal Japan goes on a mission to save the world from dark forces.,True,True,False,False,False,True,False,False,False
5674,Butt-Ugly Martians: Zoom or Doom,https://www.imdb.com/title/tt5725754/?ref_=adv_li_tt,2002,,,,Add a Plot,True,False,False,False,False,False,False,False,False
5675,Devastation,https://www.imdb.com/title/tt0404911/?ref_=adv_li_tt,2003,,7.0,24,Add a Plot,True,False,False,False,False,False,False,False,False
5676,Lufia: The Legend Returns,https://www.imdb.com/title/tt12420274/?ref_=adv_li_tt,2001,E,6.4,5,"Sequel to Lufia and the Fortress of Doom. A descendant of Maxim, Wain goes on a journey to defeat the four Sinistrals in the random generated dungeon RPG.",True,True,False,False,False,True,False,False,False
5677,Yo-kai Watch 2: Ganso,https://www.imdb.com/title/tt10025042/?ref_=adv_li_tt,2014,,,,Add a Plot,True,False,False,False,False,False,False,False,False
5678,Burnout (J2ME),https://www.imdb.com/title/tt20565576/?ref_=adv_li_tt,2007,E,,,"The Burnout series have long ago earned millions of fans on PlayStation 2, and now play the hit game on your mobile phones.",True,True,False,False,False,False,False,False,False
5679,Hydra,https://www.imdb.com/title/tt2371572/?ref_=adv_li_tt,1990,,,,Add a Plot,True,False,False,False,False,False,False,False,False
5680,Cops,https://www.imdb.com/title/tt0362517/?ref_=adv_li_tt,1994,Unrated,,,An interactive driving/shooting game based upon the TV series of the same name. You play a cop who must either shoot armed criminals while protecting the innocent or chase after escaping criminals in your patrol car.,True,False,False,True,False,False,False,False,False
5681,Mega Man Zero/ZX Legacy Collection,https://www.imdb.com/title/tt10879724/?ref_=adv_li_tt,2020,T,8.4,17,"In this newest Legacy Collection of the Mega Man franchise are the Mega Man Zero and Mega Man ZX series rolled into one package, a six game set that is loaded with new features and extras that were not part of the original release.",True,True,False,False,False,False,False,True,False
5682,E.V.O.: Search for Eden,https://www.imdb.com/title/tt0332015/?ref_=adv_li_tt,1992,,8.2,48,2D platform game where you play a primitive creature that must eat other creatures to evolve and reach the next level or era of life on Earth. Start as a fish-like thing and become a dinosaur or a human. The game has several joke endings.,True,True,True,False,False,False,False,False,False
5683,Devil's Hunt,https://www.imdb.com/title/tt10988976/?ref_=adv_li_tt,2019,,4.2,13,"Making a deal with the devil, Desmond gains demonic powers, becoming the hell's executor in the fight between light and darkness, during a war between Angels and Demons.",True,True,False,False,False,False,False,True,False
5684,Ghost in the Shell: Stand Alone Complex,https://www.imdb.com/title/tt1308130/?ref_=adv_li_tt,2005,T,7.5,14,A Playstation Portable game based on the hit series Ghost in the Shell: Stand Alone Complex.,True,False,False,True,False,False,True,False,False
5685,Iron Storm,https://www.imdb.com/title/tt0962569/?ref_=adv_li_tt,2002,M,6.6,28,"The year is 1964, and World War I still continues. The Russian Baron von Ugenberg conquered Mongolia in an uprising following the Russian Revolution. The alternate timeline began when he ... See full summary »",True,True,False,False,False,False,False,False,False
5686,Rollcage Stage II,https://www.imdb.com/title/tt0282919/?ref_=adv_li_tt,2000,E,6.5,24,"This sequel to Rollcage can be considered as Wipeout on wheels, The game allows you to power your vehicle down tunnels at blistering speeds, riding upside down on the roof if need be, and blast your fellow competitors to smithereens.",True,True,False,False,True,False,False,False,False
5687,MX vs ATV: Alive,https://www.imdb.com/title/tt11579084/?ref_=adv_li_tt,2011,E,4.5,15,Add a Plot,True,False,False,False,False,False,False,False,False
5688,Tribes: Vengeance,https://www.imdb.com/title/tt15216310/?ref_=adv_li_tt,2004,T,7.4,5,Add a Plot,True,True,False,False,False,False,False,True,False
5689,Dragon Age: Origins - Witch Hunt,https://www.imdb.com/title/tt15340616/?ref_=adv_li_tt,2010,M,7.8,20,The Grey Warden seeks the whereabouts of a powerful witch.,True,True,False,False,False,True,False,False,False
5690,Drakan: Order of the Flame,https://www.imdb.com/title/tt0406721/?ref_=adv_li_tt,1999,,8.5,69,Add a Plot,True,True,False,False,False,True,False,False,False
5691,Blue Reflection,https://www.imdb.com/title/tt6693754/?ref_=adv_li_tt,2017,T,7.4,22,"A clear summer sky spreads over the Hoshinomiya Girls' High School. This story begins with the belated start of school life for Hinako Shirai, who has just recovered from a leg injury due ... See full summary »",True,True,False,False,False,False,False,False,False
5692,Chex Quest HD,https://www.imdb.com/title/tt12350750/?ref_=adv_li_tt,2020,E10+,6.4,5,"Travel to the remote planet of Bazoik to free galactic citizens from the evil cereal-eating Flemoids. Venture deep into the caverns of Bazoik, using an array of ""zorching"" devices to send these nefarious foes back to their home dimension.",True,True,True,False,False,False,False,False,False
5693,Fatal Labyrinth,https://www.imdb.com/title/tt2308832/?ref_=adv_li_tt,1991,,5.0,23,You must save a fantasy world from a villainous dragon.,True,True,False,False,False,True,False,False,False
5694,Punch Ball Mario Bros.,https://www.imdb.com/title/tt3410580/?ref_=adv_li_tt,1984,,6.2,18,Add a Plot,True,False,False,False,False,False,False,False,False
5695,Badiya: Desert Survival,https://www.imdb.com/title/tt10698518/?ref_=adv_li_tt,2016,,4.8,25,Badiya is a Sandbox Survival RPG set in the WWI era desert lands. Badiya challenges you to brave the sands and thrive in a time where old traditions face the onslaught of industrialization.,True,True,False,False,False,False,False,False,False
5696,Viva Piñata: Party Animals,https://www.imdb.com/title/tt1672186/?ref_=adv_li_tt,2007,E,6.3,31,Add a Plot,True,False,False,False,False,False,False,False,False
5697,Beyond Mankind: The Awakening,https://www.imdb.com/title/tt15157316/?ref_=adv_li_tt,2021,,,,"Beyond Mankind: The Awakening is an Action RPG taking place in a post-apocalyptic world sporting a mature and deep narrative, rich exploration, tense combat, and immersive RPG mechanics. ... See full summary »",True,False,False,False,False,False,False,True,False
5698,Super Daryl Deluxe,https://www.imdb.com/title/tt9628820/?ref_=adv_li_tt,2018,,,,Add a Plot,True,False,False,False,False,False,False,False,False
5699,Digimon World 2,https://www.imdb.com/title/tt6066594/?ref_=adv_li_tt,2000,E,7.3,22,Add a Plot,True,False,False,False,False,False,False,False,False
5700,Bomberman '94,https://www.imdb.com/title/tt11207726/?ref_=adv_li_tt,1993,,6.1,12,Add a Plot,True,False,False,False,False,False,False,False,False
5701,Let's Go Jungle!: Lost on the Island of Spice,https://www.imdb.com/title/tt12229936/?ref_=adv_li_tt,2006,,,,"Ben and Norah, whose relationship is floundering, tour an island in Asia called Amoi Island. However, when going on a tour, they find that mutant giant insects are wreaking havoc, and they are desperate to escape from disaster.",True,False,False,False,False,False,False,False,False
5702,Retroninjacyberassassin,https://www.imdb.com/title/tt13815416/?ref_=adv_li_tt,2021,,,,"The Cybersoul corporation has become the world's largest manufacturer and media group; using their financial power to influence world governments and create their own cyborg militia, ... See full summary »",True,True,True,False,False,False,False,False,False
5703,Zatch Bell!: Mamodo Battles,https://www.imdb.com/title/tt0829214/?ref_=adv_li_tt,2005,T,7.8,26,Add a Plot,True,False,False,False,False,True,True,False,False
5704,Thunder Force III,https://www.imdb.com/title/tt0856823/?ref_=adv_li_tt,1990,K-A,7.8,41,The famous shoot'em up series Thunder Force reaches its third installment. 8 new levels of non-stop action packed with gargantuan bosses.,True,True,False,False,False,True,False,False,False
5705,Comanche,https://www.imdb.com/title/tt21203286/?ref_=adv_li_tt,2021,Not Rated,,,"After the Iran-US RQ170 incident, the US army secretly revived the development of the RAH-66 helicopter program for special operations. The program was a total success. But then, the blueprints leaked through a whistle-blower website.",True,False,False,False,False,False,False,False,False
5706,Sesame Street Sports,https://www.imdb.com/title/tt1404407/?ref_=adv_li_tt,2001,,,,Add a Plot,True,False,False,False,False,False,False,False,False
5707,Magicka,https://www.imdb.com/title/tt3481080/?ref_=adv_li_tt,2011,T,6.7,119,Add a Plot,True,True,False,False,False,True,False,False,False
5708,The Exterminators,https://www.imdb.com/title/tt5433162/?ref_=adv_li_tt,2000,T,,,"A chemical spill at the ChemDeath company has turned common L.A. bugs into giant sentient mutant bugs, who've formed the League of Insect and started a bug uprising by taking over the City Hall. Who you gonna call for help? Bug Blasters.",True,False,True,False,False,False,False,True,False
5709,Airfix: Dogfighter,https://www.imdb.com/title/tt5733718/?ref_=adv_li_tt,2000,,7.3,7,Add a Plot,True,False,False,False,False,False,False,False,False
5710,Lego Legends of Chima: Laval's Journey,https://www.imdb.com/title/tt2973458/?ref_=adv_li_tt,2013,E10+,6.0,21,Add a Plot,True,False,False,False,False,False,False,False,False
5711,Intruder,https://www.imdb.com/title/tt2057968/?ref_=adv_li_tt,1979,,,,Add a Plot,True,False,False,False,False,False,False,False,False
5712,Growl,https://www.imdb.com/title/tt2367902/?ref_=adv_li_tt,1991,,6.2,29,"Growl, known in Japan as Runark, is a belt-scrolling beat'em up originally released for the arcades by Taito. In the anachronistic early 20th century Indiana Jones and Hulk Hogan-lookalikes fight poachers and rescue animals from aliens.",True,True,False,False,False,False,False,True,False
5713,Granblue Fantasy,https://www.imdb.com/title/tt4105184/?ref_=adv_li_tt,2014,,8.1,10,Add a Plot,True,True,False,False,False,True,False,False,False
5714,Scramble,https://www.imdb.com/title/tt2119510/?ref_=adv_li_tt,1981,,6.4,34,Add a Plot,True,False,False,False,False,False,False,True,False
5715,Showdown: Legends of Wrestling,https://www.imdb.com/title/tt0458478/?ref_=adv_li_tt,2004,T,6.3,46,Showdown Legends of Wrestling features a Tremendous Roster of the best Wrestling Legends from the 70s 80s and late 9os the game play is fun easy to learn. There's tons of modes and Match ... See full summary »,True,False,False,False,False,False,False,False,False
5716,Superman,https://www.imdb.com/title/tt0297415/?ref_=adv_li_tt,1979,Unrated,5.0,68,"Superman must repair the bridge in Metropolis that has been destroyed by Lex Luthor, capture Luthor and his criminal underlings, enter a phonebooth to turn back into Clark Kent and then ... See full summary »",True,True,False,False,False,False,False,True,False
5717,Sakura Wars 3: Is Paris Burning?,https://www.imdb.com/title/tt8914974/?ref_=adv_li_tt,2001,,,,"Ichiro Ogami goes to Paris, to command the pretty girls of Paris Kagekidan (Flower Assault Squad), led by the lovely Erica. Just as in Japan, this special unit has a complex base which is ... See full summary »",True,False,False,False,False,False,False,False,False
5718,Ruff Trigger: The Vanocore Conspiracy,https://www.imdb.com/title/tt12702564/?ref_=adv_li_tt,2006,E10+,,,Add a Plot,True,True,False,False,False,False,False,False,False
5719,Guilty Gear Xrd: Revelator,https://www.imdb.com/title/tt5521196/?ref_=adv_li_tt,2016,T,6.9,39,"Set in 2187, Guilty Gear Xrd cycles through multiple characters story-lines in arcade fighting in Network Mode, Battle Mode, Practice Mode, and Story Mode.",True,False,False,False,False,True,False,True,False
5720,Dodgem,https://www.imdb.com/title/tt2051866/?ref_=adv_li_tt,1979,,4.1,9,Add a Plot,True,False,False,False,False,False,False,False,False
5721,Untitled Gun Game,https://www.imdb.com/title/tt21607626/?ref_=adv_li_tt,,,,,A riot has started in New Pork City. Your only two objectives are to kill as many people as you can and find out who started the riot.,True,False,True,False,False,False,False,False,False
5722,Odenbahime to maou no shiro,https://www.imdb.com/title/tt6295930/?ref_=adv_li_tt,2014,,,,Add a Plot,True,False,False,False,False,False,False,False,False
5723,Dangar: UFO Robot,https://www.imdb.com/title/tt2381143/?ref_=adv_li_tt,1986,,,,Add a Plot,True,False,False,False,False,False,False,True,False
5724,Grim Tranquility,https://www.imdb.com/title/tt15495260/?ref_=adv_li_tt,2022,,,,Add a Plot,True,False,False,False,False,False,False,True,False
5725,Disaster Report,https://www.imdb.com/title/tt0424579/?ref_=adv_li_tt,2002,T,7.6,43,"In 2004, the government announced the successful creation of Stiver Island, an artificial island off the coast built as a test for creating islands all over the world. One year later, Keith... See full summary »",True,False,False,False,False,False,False,False,False
5726,Star Wars: The Force Unleashed - Jedi Temple Mission Pack,https://www.imdb.com/title/tt15408358/?ref_=adv_li_tt,2008,T,,,Add a Plot,True,True,False,False,False,True,False,False,False
5727,Battle Arena Toshinden 3,https://www.imdb.com/title/tt0208721/?ref_=adv_li_tt,1996,T,6.7,34,The third Battle Arena Toshinden video game.,True,False,False,False,False,False,False,False,False
5728,Wonder Boy III: Monster Lair,https://www.imdb.com/title/tt2264992/?ref_=adv_li_tt,1988,E,6.7,36,"The monsters are attacking the quiet town of Xenobia, Guide Leo and Priscilla to wipe out the monsters using the Legendary Weapons.",True,True,False,False,False,True,False,False,False
5729,BladeStorm: Hundred Years War,https://www.imdb.com/title/tt0892039/?ref_=adv_li_tt,2007,T,7.0,38,"The game opens with a scene showing two anonymous mercenaries fighting each other during a clash between French and English troops. They converse as they fight, setting the tone of the game... See full summary »",True,False,False,False,True,True,False,False,False
5730,Trapt,https://www.imdb.com/title/tt0819725/?ref_=adv_li_tt,2005,M,8.2,476,"While Allura (Alicia in the original Japanese version), the princess and daughter of King Olaf and his servants visits the grave of Allura's real mother, King Olaf was struck by a single ... See full summary »",True,False,False,True,False,True,False,False,False
5731,Chrono Cross: The Radical Dreamers Edition,https://www.imdb.com/title/tt18245798/?ref_=adv_li_tt,2022,T,6.9,14,"A remastered edition of Chrono Cross and for the first time ever in North America, Radical Dreamers.",True,True,False,False,False,True,False,False,False
5732,Space Harrier,https://www.imdb.com/title/tt0371244/?ref_=adv_li_tt,1985,,7.1,128,Add a Plot,True,False,False,False,False,False,False,True,False
5733,Pokémon Uncensored Edition,https://www.imdb.com/title/tt6300640/?ref_=adv_li_tt,2016,,,,Add a Plot,True,True,False,False,False,True,False,False,False
5734,Riding Fight,https://www.imdb.com/title/tt3022348/?ref_=adv_li_tt,1992,,,,Add a Plot,True,False,False,True,False,False,False,True,False
5735,Fire Emblem: Thracia 776,https://www.imdb.com/title/tt7468128/?ref_=adv_li_tt,1999,,6.9,13,"In this side-story to Genealogy of the Holy War, Leif, the prince of Leonster, must free his kingdom when it is taken over by the Dukedom of Friege.",True,True,False,False,False,False,False,False,False
5736,Star Fox Guard,https://www.imdb.com/title/tt5565058/?ref_=adv_li_tt,2016,E10+,7.4,32,"The war with Andross rages on in the Lylat system, plaguing the galaxy. Yet, even in this time of war, one mining company begins to grow, finding and selling precious metals. As mysterious ... See full summary »",True,False,False,False,False,False,False,False,False
5737,Disaster: Day of Crisis,https://www.imdb.com/title/tt1293549/?ref_=adv_li_tt,2008,,7.9,41,"When Ray and his partner Steve Hewitt were performing a routine rescue mission near the dormant volcano Mt. Aguilas, tragedy struck when the volcano unexpectedly erupted. During their ... See full summary »",True,True,False,False,False,False,False,False,True
5738,Turbo Dismount,https://www.imdb.com/title/tt14651096/?ref_=adv_li_tt,2014,E10+,6.2,9,"Turbo Dismount is a kinetic tragedy about Mr. Dismount and the cars who love him, It is the official sequel to the wildly popular and immensely successful personal impact simulator, Stair Dismount.",True,True,True,False,False,False,False,False,False
5739,Silver Surfer the video game,https://www.imdb.com/title/tt19768076/?ref_=adv_li_tt,2024,,,,Add a Plot,True,False,False,False,False,False,False,False,False
5740,Outtrigger,https://www.imdb.com/title/tt1064791/?ref_=adv_li_tt,1999,T,7.1,12,"In Outtrigger you play a member of the ""International Counter-terrorism Special Force (Interforce)"", formed by ""Visitaria"", a multi-national company for military and space products. Your goal is to defend against terrorist attacks.",True,False,False,False,False,False,False,False,False
5741,ClayFighter,https://www.imdb.com/title/tt3681484/?ref_=adv_li_tt,1993,T,6.6,152,Add a Plot,True,False,False,False,False,False,False,False,False
5742,X,https://www.imdb.com/title/tt9500330/?ref_=adv_li_tt,1992,,,,Add a Plot,True,False,False,False,False,False,False,False,False
5743,Young Indiana Jones and the Instruments of Chaos,https://www.imdb.com/title/tt1403104/?ref_=adv_li_tt,1994,,5.4,34,"It's WWI and the Germans are building their war machine, as Young Indy you have to stop them.",True,True,False,False,False,False,False,False,True
5744,Dragon Quest X: Awakening of the Five Tribes,https://www.imdb.com/title/tt2308980/?ref_=adv_li_tt,2012,,5.2,11,Add a Plot,True,True,False,False,True,False,False,False,False
5745,Vindicators,https://www.imdb.com/title/tt2262362/?ref_=adv_li_tt,1988,,,,Add a Plot,True,False,False,False,False,False,False,True,False
5746,Rampage 2: Universal Tour,https://www.imdb.com/title/tt0304617/?ref_=adv_li_tt,1999,T,7.6,108,"George, Lizzie, and Ralph have been captured for the whole world to see, now it's up to a new generation of monsters to rescue them. They are not out to destroy only the world this time, but the entire universe.",True,False,True,False,False,True,False,False,False
5747,Castle of Shikigami III,https://www.imdb.com/title/tt10845482/?ref_=adv_li_tt,2006,T,,,"In the country of Alcaland, the mysterious Swan Castle has emerged and many people have suddenly disappeared and fallen to its nightmares. Ten psychics must now venture into Alcaland and investigate the mysterious castle.",True,True,True,False,False,False,False,False,False
5748,Star Wars Batlefront: Elite Squadron,https://www.imdb.com/title/tt7446944/?ref_=adv_li_tt,2009,T,6.9,51,"Twin clones of a Jedi fight throughout the Clone Wars and Galactic Civil War, and are forced along polar opposite paths.",True,True,False,False,False,True,False,False,False
5749,American Fugitive,https://www.imdb.com/title/tt10698536/?ref_=adv_li_tt,2019,,6.2,35,"Framed for your father's murder, you'll need to do whatever it takes to unveil the real culprit. Tackle thrilling missions for the criminal underworld - just don't let the cops track you down.",True,True,False,True,False,False,False,False,False
5750,Shattered Galaxy,https://www.imdb.com/title/tt0793573/?ref_=adv_li_tt,2001,,,,Add a Plot,True,True,False,False,False,False,False,True,False
5751,Emergency 2017,https://www.imdb.com/title/tt10114586/?ref_=adv_li_tt,2016,,,,Add a Plot,True,False,False,False,False,False,False,False,False
5752,Rolling Thunder 2,https://www.imdb.com/title/tt2444678/?ref_=adv_li_tt,1991,E,7.0,25,"A terrorist group has taken out the world information flow and you must stop them using your weapons that pack more of a punch than your ordinary hand gun, Are you really for Rolling Thunder 2?",True,False,False,False,True,False,False,True,False
5753,Giants Uprising,https://www.imdb.com/title/tt21207752/?ref_=adv_li_tt,,Not Rated,,,Add a Plot,True,False,False,False,False,False,False,False,False
5754,Growlanser II: The Sense of Justice,https://www.imdb.com/title/tt0442782/?ref_=adv_li_tt,2001,T,8.8,40,"As the three neighboring kingdoms of Rolandia, Burnstein, and Ranzack try to construct a new era of peace after a devastating war, a small squad of Burnstein knights, headed by young Wein ... See full summary »",True,True,False,False,False,False,False,False,False
5755,C: The Contra Adventure,https://www.imdb.com/title/tt0782031/?ref_=adv_li_tt,1998,T,6.6,12,"A meteorite with an alien infestation falls towards Earth near a Mayan temple in South America. The temple is soon occupied by aliens staging an invasion, and the natives soon disappear and... See full summary »",True,True,False,False,False,False,False,False,False
5756,Burnout,https://www.imdb.com/title/tt0815121/?ref_=adv_li_tt,2001,E,6.8,137,It's the first in a series of high-speed racing games noted for over-the-top crashes and high-risk gameplay mechanics.,True,False,False,True,False,False,False,False,False
5757,Earthworm Jim: Menace 2 the Galaxy,https://www.imdb.com/title/tt0413979/?ref_=adv_li_tt,1999,E,6.7,28,Add a Plot,True,False,False,False,False,False,False,True,False
5758,Redline: Gang Warfare 2066,https://www.imdb.com/title/tt2137229/?ref_=adv_li_tt,1999,,7.3,6,Add a Plot,True,False,False,False,False,False,False,False,False
5759,Bombshell,https://www.imdb.com/title/tt3733302/?ref_=adv_li_tt,2016,,7.0,10,"Bombshell is a top-down action game developed by Interceptor Entertainment and published by 3D Realms. The game was released on January 29, 2016 for Microsoft Windows, with PlayStation 4 ... See full summary »",True,False,False,False,False,False,False,True,False
5760,20 Minutes Till Dawn,https://www.imdb.com/title/tt21042014/?ref_=adv_li_tt,2022,,,,Shoot down an ever growing horde of Lovecraftian monsters to survive the night. Choose from a variety of upgrades to create unique and game-breaking builds. Unlock a diverse cast of characters and weapons with unique powers.,True,True,False,False,False,True,False,False,False
5761,Rugrats: Scavenger Hunt,https://www.imdb.com/title/tt1404405/?ref_=adv_li_tt,1999,,5.2,47,Grandpa Lou has a booklet that lists 3 fun games for the characters to play.,True,False,False,False,False,False,False,False,False
5762,I.M. Meen,https://www.imdb.com/title/tt5657058/?ref_=adv_li_tt,1995,,6.6,8,"Evil librarian I.M. Meen, who hates kids and learning, has placed you, his latest kid victim, into his dungeon maze. Over the course of 36 levels, fight various monsters, correct pages of misspelled text and save other kids there.",True,True,False,False,True,False,False,False,False
5763,Deer Avenger,https://www.imdb.com/title/tt0285515/?ref_=adv_li_tt,2000,,7.6,13,Add a Plot,True,False,False,False,False,False,False,False,False
5764,Sakura Wars 2: Thou Shalt Not Die,https://www.imdb.com/title/tt0424401/?ref_=adv_li_tt,1998,,7.9,14,"Japan, 1920's. After having defeated the ultimate evil, the charming ladies of the Hanagumi Squad and their young commander Ichiro Ogami believe that Japan is safe forever. But their ... See full summary »",True,False,False,False,False,False,False,False,False
5765,Black Knight Sword,https://www.imdb.com/title/tt2621072/?ref_=adv_li_tt,2012,,6.6,18,Take on the role of The Black Knight and wade through a twisted and dark world to kill the Dark Princess.,True,True,False,False,False,True,False,False,False
5766,The Works of Mercy,https://www.imdb.com/title/tt7522808/?ref_=adv_li_tt,2018,,,,"'The Works of Mercy' is a psychological thriller inspired by the classics of the genre: Roman Polanski's 'Repulsion,' 'The Tenant' and Stanley Kubrick's 'The Shining.' The game's plot ... See full summary »",True,False,False,False,False,False,False,False,False
5767,Overlord: Raising Hell,https://www.imdb.com/title/tt15333486/?ref_=adv_li_tt,2007,T,8.0,6,Add a Plot,True,True,True,False,False,False,False,False,False
5768,Monster Madness: Battle for Suburbia,https://www.imdb.com/title/tt2185096/?ref_=adv_li_tt,2007,T,5.2,10,Add a Plot,True,True,True,False,False,False,False,False,False
5769,KKND2: Krossfire,https://www.imdb.com/title/tt0449048/?ref_=adv_li_tt,1998,T,6.9,37,Add a Plot,True,True,False,False,False,False,False,False,False
5770,Neuro,https://www.imdb.com/title/tt15237696/?ref_=adv_li_tt,2006,,,,Add a Plot,True,True,False,False,False,False,False,True,False
5771,Luftwaffe Commander: WWII Combat Flight Simulator,https://www.imdb.com/title/tt8439916/?ref_=adv_li_tt,1998,,,,Add a Plot,True,False,False,False,False,False,False,False,False
5772,We Love Katamari,https://www.imdb.com/title/tt0782060/?ref_=adv_li_tt,2005,E,8.7,177,"We Love Katamari, known in Japan as Minna Daisuki Katamari Damacy, is a video game developed and published by Namco for the PlayStation 2.",True,False,False,False,False,True,False,False,False
5773,Everhood,https://www.imdb.com/title/tt14518870/?ref_=adv_li_tt,2021,E10+,7.7,22,An UNCONVENTIONAL ADVENTURE RPG that takes place in an inexpressible world filled with amusing musical battles and strange delightful encounters. To put it simply: You are in for a ride.,True,True,False,False,False,True,False,False,False
5774,Ice Scream 3: Horror Neighborhood,https://www.imdb.com/title/tt13734696/?ref_=adv_li_tt,2020,T,,,Add a Plot,True,True,False,False,False,False,False,False,False
5775,All-Pro Football 2K8,https://www.imdb.com/title/tt0960042/?ref_=adv_li_tt,2007,,7.8,25,"2K Sports brings football back to its videogame line-up with All-Pro Football 2K8, featuring legends of the gridiron brought together for a showdown of the greatest of the greats. The ... See full synopsis »",True,False,False,False,False,False,False,False,False
